,Paal,Nifal,Piel,Hifil,Hitpael,Hofal,Pual,Total,Common,Uncommon,Rank,Accompli,Inaccompli,Wayyiqtol,Impératif,Infinitif Absolu,Infinitif Construit,Participe Présent,Participe Présent Passif,Classe
שׁבת,27,4,0,40,0,0,0,71,71,0,168,44,16,6,1,0,2,2,0,Fort
לין,68,0,0,0,2,0,0,70,70,0,169,4,38,13,7,0,7,1,0,ע׳׳וי
אסר,63,5,0,0,0,0,2,70,70,0,170,16,8,18,5,2,6,1,14,פ׳׳א
משׁח,64,5,0,0,0,0,0,69,69,0,171,30,5,16,2,1,8,1,6,ל׳׳ג
נבט,0,0,1,68,0,0,0,69,69,0,172,11,23,8,20,0,6,1,0,פ׳׳נ
שׁקה,0,0,0,67,0,0,1,68,68,0,173,15,16,16,5,0,7,9,0,ל׳׳ה
אחז,59,7,1,0,0,1,0,68,68,0,174,19,12,11,7,0,5,4,10,פ׳׳א
פרשׂ,57,1,9,0,0,0,0,67,67,0,175,26,11,16,0,0,2,9,3,Fort
ריב,65,0,0,2,0,0,0,67,67,0,176,7,28,10,9,3,5,5,0,ע׳׳וי
תקע,64,3,0,0,0,0,0,67,67,0,177,22,9,17,8,2,2,6,1,ל׳׳ג
צלח,25,0,0,40,0,0,0,65,65,0,178,16,25,11,8,0,0,5,0,ל׳׳ג
שׁכם,0,0,0,65,0,0,0,65,65,0,179,6,3,36,3,13,0,4,0,Fort
ברח,59,0,0,6,0,0,0,65,65,0,180,13,8,22,5,1,10,6,0,ל׳׳ג
תפשׂ,49,15,1,0,0,0,0,65,65,0,181,17,7,15,6,1,8,10,1,Fort
פוץ,12,16,0,36,0,0,0,65,64,1,182,29,15,10,2,0,3,6,0,ע׳׳וי
חלק,21,6,26,8,1,0,3,65,65,0,183,19,24,11,2,0,5,4,0,פ׳׳ג
רפא,38,16,8,0,3,0,0,65,65,0,184,13,19,7,5,2,10,9,0,ל׳׳א
נצח,0,1,64,0,0,0,0,65,65,0,185,0,0,0,0,0,5,60,0,פ׳׳נ
תמם,53,0,0,8,2,0,0,63,63,0,186,23,12,4,1,0,23,0,0,Fort
ארר,54,1,7,0,0,1,0,63,63,0,187,3,5,0,4,1,0,10,40,פ׳׳א
קרע,58,5,0,0,0,0,0,63,63,0,188,16,8,26,2,1,2,1,7,ל׳׳ג
דרך,49,0,0,13,0,0,0,62,62,0,189,20,19,3,2,0,0,16,2,Fort
כשׁל,29,23,0,9,0,1,0,62,62,0,190,27,19,2,0,1,4,8,1,Fort
שׂכל,1,0,2,59,0,0,0,62,62,0,191,10,16,0,1,6,8,21,0,Fort
נצר,62,0,0,0,0,0,0,62,62,0,192,5,28,0,6,1,1,16,5,פ׳׳נ
נחל,30,0,4,17,7,1,0,59,59,0,193,21,27,2,0,1,7,1,0,פ׳׳נ
יכח,0,3,0,54,1,1,0,59,59,0,194,10,24,3,1,6,3,12,0,פ׳׳וי
פדה,53,3,0,1,0,1,0,58,58,0,195,21,19,4,5,3,2,2,2,ל׳׳ה
שׁדד,32,1,3,0,0,2,20,58,58,0,196,23,7,0,1,1,1,21,4,ע׳׳ע
