,Paal,Nifal,Piel,Hifil,Hitpael,Hofal,Pual,Total,Common,Uncommon,Rank,Accompli,Inaccompli,Wayyiqtol,Impératif,Infinitif Absolu,Infinitif Construit,Participe Présent,Participe Présent Passif,Classe
חבק,3,0,10,0,0,0,0,13,13,0,548,2,4,3,0,0,2,2,0,פ׳׳ג
חרץ,8,5,0,0,0,0,0,13,13,0,549,2,2,0,0,0,0,5,4,פ׳׳ג
צוק,2,0,0,11,0,0,0,13,13,0,550,5,5,0,0,0,0,3,0,ע׳׳וי
צחק,6,0,7,0,0,0,0,13,13,0,551,3,1,3,0,0,3,3,0,ע׳׳ג
סתם,10,1,2,0,0,0,0,13,13,0,552,2,2,2,2,0,2,0,3,Fort
צבא,11,0,0,2,0,0,0,13,13,0,553,2,0,1,0,0,3,7,0,ל׳׳א
גזר,7,6,0,0,0,0,0,13,13,0,554,7,1,2,2,0,0,1,0,Fort
רעב,11,0,0,2,0,0,0,13,13,0,555,3,8,2,0,0,0,0,0,ע׳׳ג
המם,13,0,0,0,0,0,0,13,13,0,556,4,1,6,0,0,2,0,0,פ׳׳ג
רגע,4,1,0,8,0,0,0,13,13,0,557,4,5,0,1,0,1,2,0,ל׳׳ג
אפה,10,3,0,0,0,0,0,13,13,0,558,5,5,2,1,0,0,0,0,פ׳׳א
ליץ,1,0,1,9,1,0,0,12,12,0,559,2,4,0,0,0,0,6,0,ע׳׳וי
שׁקד,12,0,0,0,0,0,0,12,12,0,560,3,2,1,1,0,1,4,0,Fort
נפח,9,0,0,2,0,0,1,12,12,0,561,6,0,1,1,0,1,1,2,פ׳׳נ
בצר,8,2,2,0,0,0,0,12,12,0,562,0,7,1,0,0,1,3,0,Fort
סעד,12,0,0,0,0,0,0,12,12,0,563,1,5,0,5,0,1,0,0,ע׳׳ג
בוס,7,0,2,0,2,1,0,12,12,0,564,2,6,0,0,0,0,3,1,ע׳׳וי
זעם,11,1,0,0,0,0,0,12,12,0,565,5,2,0,1,0,0,2,2,ע׳׳ג
שׁרק,12,0,0,0,0,0,0,12,12,0,566,5,7,0,0,0,0,0,0,Fort
חול,9,0,2,0,1,0,0,12,12,0,567,2,4,1,0,0,2,3,0,ע׳׳וי
רמה,4,0,8,0,0,0,0,12,12,0,568,9,0,0,0,0,1,2,0,ל׳׳ה
עות,1,0,9,0,1,0,1,12,12,0,569,4,4,0,0,0,3,0,1,ע׳׳וי
אנח,0,12,0,0,0,0,0,12,12,0,570,3,2,1,1,0,0,5,0,פ׳׳א
סלל,10,0,1,0,1,0,0,12,12,0,571,0,0,2,7,0,0,1,2,ע׳׳ע
חפה,6,1,5,0,0,0,0,12,12,0,572,6,0,3,0,0,0,1,2,ל׳׳ה
נער,5,3,3,0,1,0,0,12,12,0,573,4,3,1,1,0,0,2,1,פ׳׳נ
כנס,7,0,3,0,1,0,0,11,11,0,574,3,1,0,1,0,5,1,0,Fort
ארשׂ,0,0,6,0,0,0,5,11,11,0,575,7,1,0,0,0,0,0,3,פ׳׳א
נגח,4,0,6,0,1,0,0,11,11,0,576,0,10,0,0,0,0,1,0,פ׳׳נ
נחשׁ,0,1,10,0,0,0,0,11,11,0,577,3,4,1,0,2,0,1,0,פ׳׳נ
דקר,7,1,0,0,0,0,3,11,11,0,578,3,1,2,2,0,0,0,3,Fort
טוח,9,2,0,0,0,0,0,11,11,0,579,4,0,0,0,0,3,4,0,ע׳׳וי
להט,2,0,9,0,0,0,0,11,11,0,580,2,5,2,0,0,0,2,0,ע׳׳ג
נבע,1,0,0,10,0,0,0,11,11,0,581,0,10,0,0,0,0,1,0,פ׳׳נ
יקץ,11,0,0,0,0,0,0,11,11,0,582,0,2,9,0,0,0,0,0,פ׳׳וי
עדר,2,8,1,0,0,0,0,11,11,0,583,5,3,0,0,0,1,2,0,פ׳׳ג
שׁבח,0,0,8,1,2,0,0,11,11,0,584,1,4,0,2,1,2,1,0,ל׳׳ג
עמל,11,0,0,0,0,0,0,11,11,0,585,7,4,0,0,0,0,0,0,פ׳׳ג
ענן,0,0,11,0,0,0,0,11,11,0,586,2,1,0,0,0,1,7,0,פ׳׳ג
חנף,7,0,0,4,0,0,0,11,11,0,587,2,5,3,0,1,0,0,0,פ׳׳ג
הדף,11,0,0,0,0,0,0,11,11,0,588,3,5,0,0,0,3,0,0,פ׳׳ג
טעם,11,0,0,0,0,0,0,11,11,0,589,4,5,0,1,1,0,0,0,ע׳׳ג
חשׁק,8,0,1,0,0,0,2,11,11,0,590,9,0,0,0,0,0,0,2,פ׳׳ג
רקע,6,0,3,1,0,0,1,11,11,0,591,0,3,2,1,0,1,3,1,ל׳׳ג
דשׁן,1,0,5,0,0,0,4,11,10,1,592,4,6,0,0,0,1,0,0,Fort
סוך,8,0,2,1,0,0,0,11,11,0,593,3,4,3,0,1,0,0,0,ע׳׳וי
יקר,9,0,0,2,0,0,0,11,11,0,594,4,5,1,1,0,0,0,0,פ׳׳וי
זלל,6,3,0,2,0,0,0,11,11,0,595,4,1,0,0,0,0,6,0,ע׳׳ע
טבח,11,0,0,0,0,0,0,11,11,0,596,4,0,0,1,0,5,0,1,ל׳׳ג
חשׂף,10,0,0,0,0,0,0,10,10,0,597,4,0,1,1,1,2,0,1,פ׳׳ג
עדה,9,0,0,1,0,0,0,10,10,0,598,2,3,3,1,0,0,1,0,ל׳׳ה
שׁסה,10,0,0,0,0,0,0,10,10,0,599,1,1,0,0,0,0,7,1,ל׳׳ה
מקק,0,9,0,1,0,0,0,10,10,0,600,4,4,0,0,1,0,1,0,ע׳׳ע
פזר,1,1,7,0,0,0,1,10,10,0,601,5,1,1,0,0,0,1,2,Fort
טבע,6,0,0,0,0,3,1,10,10,0,602,7,1,2,0,0,0,0,0,ל׳׳ג
אוץ,8,0,0,2,0,0,0,10,10,0,603,3,1,1,0,0,0,5,0,פ׳׳א
עזז,8,0,0,2,0,0,0,10,10,0,604,2,4,2,1,0,1,0,0,ע׳׳ע
צמא,10,0,0,0,0,0,0,10,10,0,605,5,2,3,0,0,0,0,0,ל׳׳א
חטב,9,0,0,0,0,0,1,10,10,0,606,0,1,0,0,0,1,6,2,פ׳׳ג
כהה,6,0,4,0,0,0,0,10,10,0,607,5,2,2,0,1,0,0,0,ע׳׳ע
אדם,1,0,0,1,1,0,7,10,10,0,608,1,2,0,0,0,0,0,7,פ׳׳א
קוץ,8,0,0,2,0,0,0,10,10,0,609,2,3,4,0,0,0,1,0,ע׳׳וי
ענג,0,0,0,0,9,0,1,10,10,0,610,2,5,0,1,0,1,0,1,פ׳׳ג
זיד,2,0,0,8,0,0,0,10,10,0,611,5,3,2,0,0,0,0,0,ע׳׳וי
חדשׁ,0,0,9,0,1,0,0,10,10,0,612,1,4,1,2,0,2,0,0,פ׳׳ג
נהל,0,0,9,0,1,0,0,10,10,0,613,1,5,3,0,0,0,1,0,פ׳׳נ
נגר,0,4,0,5,0,1,0,10,10,0,614,3,1,2,1,0,0,2,1,פ׳׳נ
משׁשׁ,2,0,6,2,0,0,0,10,10,0,615,1,5,2,1,0,0,1,0,ע׳׳ע
פרק,4,0,3,0,3,0,0,10,10,0,616,2,1,2,2,0,0,3,0,Fort
גדר,10,0,0,0,0,0,0,10,10,0,617,5,0,1,0,0,0,4,0,Fort
געל,8,1,0,1,0,0,0,10,10,0,618,6,3,0,0,0,0,1,0,ע׳׳ג
נזר,0,4,0,6,0,0,0,10,10,0,619,2,4,1,0,0,3,0,0,פ׳׳נ
שׁתל,10,0,0,0,0,0,0,10,10,0,620,1,1,0,0,0,0,0,8,Fort
קלה,3,6,0,1,0,0,0,10,10,0,621,3,0,0,0,0,0,5,2,ל׳׳ה
עמק,1,0,0,8,0,0,0,9,9,0,622,5,0,0,2,1,0,1,0,פ׳׳ג
תלל,0,0,0,8,0,1,0,9,9,0,623,5,2,0,0,0,2,0,0,ע׳׳ע
עתק,4,0,0,5,0,0,0,9,9,0,624,4,2,2,0,0,0,1,0,פ׳׳ג
עדף,8,0,0,1,0,0,0,9,9,0,625,1,0,0,0,0,0,8,0,פ׳׳ג
שׁעע,1,0,3,1,3,0,1,9,9,0,626,2,4,0,3,0,0,0,0,ע׳׳ע
שׁנן,7,0,1,0,1,0,0,9,9,0,627,4,1,0,0,0,0,0,4,Fort
שׁמט,7,1,0,1,0,0,0,9,9,0,628,4,2,1,1,1,0,0,0,Fort
תמה,8,0,0,0,1,0,0,9,9,0,629,1,4,1,3,0,0,0,0,ל׳׳ה
נדף,4,5,0,0,0,0,0,9,9,0,630,1,3,0,0,0,1,4,0,פ׳׳נ
אלם,0,8,1,0,0,0,0,9,9,0,631,6,2,0,0,0,0,1,0,פ׳׳א
געשׁ,1,0,0,0,5,0,1,9,7,2,632,1,3,5,0,0,0,0,0,ע׳׳ג
עמס,7,0,0,2,0,0,0,9,9,0,633,2,1,1,0,0,0,3,2,פ׳׳ג
נתח,0,0,9,0,0,0,0,9,9,0,634,3,2,4,0,0,0,0,0,פ׳׳נ
יגה,0,2,1,6,0,0,0,9,9,0,635,4,1,1,0,0,0,3,0,פ׳׳וי
חרר,2,6,1,0,0,0,0,9,9,0,636,6,1,1,0,0,1,0,0,ע׳׳ע
דעך,7,1,0,0,0,0,1,9,9,0,637,3,6,0,0,0,0,0,0,ע׳׳ג
צוץ,1,0,0,8,0,0,0,9,9,0,638,1,5,2,0,0,0,1,0,ע׳׳וי
יעף,8,0,0,0,0,1,0,9,9,0,639,2,5,1,0,0,0,0,1,פ׳׳וי
עשׂר,2,0,5,2,0,0,0,9,9,0,640,0,4,0,0,2,2,1,0,פ׳׳ג
דלק,7,0,0,2,0,0,0,9,9,0,641,3,2,0,1,0,1,2,0,Fort
רקד,3,0,5,1,0,0,0,9,9,0,642,1,4,1,0,0,1,2,0,Fort
חפז,6,3,0,0,0,0,0,9,9,0,643,1,3,0,0,0,4,1,0,פ׳׳ג
נטר,9,0,0,0,0,0,0,9,9,0,644,1,4,0,0,0,0,4,0,פ׳׳נ
פטר,8,0,0,1,0,0,0,9,9,0,645,1,1,1,0,0,0,1,5,Fort
שׁסע,5,0,4,0,0,0,0,9,9,0,646,1,0,2,0,0,1,4,1,ל׳׳ג
צהל,7,0,1,1,0,0,0,9,9,0,647,2,2,0,4,0,1,0,0,ע׳׳ג
רקם,8,0,0,0,0,0,1,9,9,0,648,1,0,0,0,0,0,8,0,Fort
שׁלשׁ,0,0,4,0,0,0,5,9,9,0,649,2,0,1,1,0,0,0,5,Fort
פתר,9,0,0,0,0,0,0,9,9,0,650,4,0,1,0,0,1,3,0,Fort
זור,6,2,0,0,0,1,0,9,9,0,651,5,1,1,0,0,0,0,2,ע׳׳וי
פוק,1,0,0,8,0,0,0,9,9,0,652,1,5,2,0,0,0,1,0,ע׳׳וי
בקק,5,3,1,0,0,0,0,9,9,0,653,3,2,0,0,1,0,3,0,ע׳׳ע
מהה,0,0,0,0,9,0,0,9,9,0,654,3,1,1,1,0,2,1,0,ע׳׳ע
סבל,7,0,0,0,1,0,1,9,9,0,655,2,5,0,0,0,1,0,1,Fort
הסה,0,0,7,1,0,0,0,8,8,0,656,0,0,1,7,0,0,0,0,ל׳׳ה
שׁרשׁ,0,0,2,3,0,0,0,8,5,3,657,3,3,1,0,0,0,1,0,Fort
יקד,3,0,0,0,0,5,0,8,8,0,658,0,6,1,0,0,0,1,0,פ׳׳וי
שׁלה,6,1,0,1,0,0,0,8,8,0,659,3,5,0,0,0,0,0,0,ל׳׳ה
ענשׁ,5,3,0,0,0,0,0,8,8,0,660,3,1,1,0,1,2,0,0,פ׳׳ג
ערף,8,0,0,0,0,0,0,8,8,0,661,3,3,0,0,0,0,1,1,פ׳׳ג
זכה,4,0,3,0,1,0,0,8,8,0,662,2,5,0,1,0,0,0,0,ל׳׳ה
רכך,6,0,0,1,0,0,1,8,8,0,663,5,3,0,0,0,0,0,0,Fort
שׂבר,2,0,6,0,0,0,0,8,8,0,664,2,4,0,0,0,0,2,0,Fort
הלם,8,0,0,0,0,0,0,8,8,0,665,4,2,0,0,0,0,1,1,פ׳׳ג
כאב,4,0,0,4,0,0,0,8,8,0,666,1,4,0,0,0,0,3,0,ע׳׳ג
קשׁשׁ,1,0,6,0,1,0,0,8,8,0,667,1,0,0,2,0,1,4,0,ע׳׳ע
חתר,8,0,0,0,0,0,0,8,8,0,668,2,2,2,2,0,0,0,0,פ׳׳ג
חמס,7,1,0,0,0,0,0,8,8,0,669,3,3,1,0,0,0,1,0,פ׳׳ג
דלל,8,0,0,0,0,0,0,8,8,0,670,6,1,1,0,0,0,0,0,ע׳׳ע
גנן,8,0,0,0,0,0,0,8,8,0,671,4,3,0,0,1,0,0,0,Fort
קין,0,0,8,0,0,0,0,8,8,0,672,2,2,3,0,0,0,1,0,ע׳׳וי
נוא,0,0,0,8,0,0,0,8,8,0,673,4,3,1,0,0,0,0,0,פ׳׳נ
שׁלט,5,0,0,3,0,0,0,8,8,0,674,3,4,0,0,0,1,0,0,Fort
נעל,7,0,0,1,0,0,0,8,8,0,675,2,0,2,1,0,0,0,3,פ׳׳נ
תאר,5,0,2,0,0,0,1,8,8,0,676,5,2,0,0,0,0,0,1,ע׳׳ג
נתר,1,0,1,6,0,0,0,8,8,0,677,0,2,3,0,1,1,1,0,פ׳׳נ
טלא,7,0,0,0,0,0,1,8,8,0,678,0,0,0,0,0,0,0,8,ל׳׳א
שׂער,5,1,1,0,1,0,0,8,8,0,679,3,4,0,1,0,0,0,0,ע׳׳ג
יקשׁ,4,4,0,0,0,0,0,8,8,0,680,5,1,0,0,0,0,1,1,פ׳׳וי
נחת,3,1,3,1,0,0,0,8,8,0,681,3,2,1,2,0,0,0,0,פ׳׳נ
יפע,0,0,0,8,0,0,0,8,8,0,682,4,1,1,2,0,0,0,0,פ׳׳וי
לבן,3,0,0,4,1,0,0,8,8,0,683,1,4,0,0,0,3,0,0,Fort
אטם,8,0,0,0,0,0,0,8,8,0,684,0,1,0,0,0,0,3,4,פ׳׳א
צעד,7,0,0,1,0,0,0,8,8,0,685,2,4,0,0,0,2,0,0,ע׳׳ג
רקח,6,0,0,1,0,0,1,8,8,0,686,0,1,0,1,0,0,5,1,ל׳׳ג
יפה,5,0,2,0,1,0,0,8,8,0,687,4,2,2,0,0,0,0,0,פ׳׳וי
פצח,7,0,1,0,0,0,0,8,8,0,688,2,1,0,5,0,0,0,0,ל׳׳ג
עלץ,8,0,0,0,0,0,0,8,8,0,689,1,6,0,0,0,1,0,0,פ׳׳ג
קיא,1,0,0,7,0,0,0,8,8,0,690,2,3,3,0,0,0,0,0,ע׳׳וי
נעם,8,0,0,0,0,0,0,8,8,0,691,5,3,0,0,0,0,0,0,פ׳׳נ
גדד,1,0,0,0,7,0,0,8,8,0,692,0,6,1,0,0,0,1,0,ע׳׳ע
שׁגע,0,0,0,0,2,0,5,7,7,0,693,0,0,0,0,0,1,1,5,ל׳׳ג
סער,3,1,1,0,0,0,1,7,6,1,694,1,3,1,0,0,0,2,0,ע׳׳ג
עול,5,0,2,0,0,0,0,7,7,0,695,0,1,0,0,0,0,6,0,ע׳׳וי
מעד,5,0,0,1,0,0,0,7,6,1,696,2,2,0,1,0,0,1,1,ע׳׳ג
עטר,2,0,4,1,0,0,0,7,7,0,697,2,2,0,0,0,0,3,0,פ׳׳ג
קפץ,5,1,1,0,0,0,0,7,7,0,698,3,3,0,0,0,0,1,0,Fort
לקק,5,0,2,0,0,0,0,7,7,0,699,1,3,1,0,0,0,2,0,ע׳׳ע
קלע,5,0,2,0,0,0,0,7,7,0,700,3,1,1,0,0,0,2,0,ל׳׳ג
רגן,1,6,0,0,0,0,0,7,7,0,701,0,0,2,0,0,0,5,0,Fort
אלה,5,0,0,2,0,0,0,7,7,0,702,1,0,1,1,2,2,0,0,פ׳׳א
רדם,0,7,0,0,0,0,0,7,7,0,703,1,0,1,0,0,0,5,0,Fort
דאג,7,0,0,0,0,0,0,7,7,0,704,3,2,0,0,0,0,2,0,ע׳׳ג
פצר,6,0,0,1,0,0,0,7,7,0,705,0,0,6,0,1,0,0,0,Fort
סכל,0,4,1,2,0,0,0,7,7,0,706,6,0,0,1,0,0,0,0,Fort
אפק,0,0,0,0,7,0,0,7,7,0,707,1,2,3,0,0,1,0,0,פ׳׳א
מצה,4,3,0,0,0,0,0,7,7,0,708,3,3,1,0,0,0,0,0,ל׳׳ה
זקק,2,0,1,0,0,0,4,7,7,0,709,1,2,0,0,0,0,0,4,ע׳׳ע
טחן,7,0,0,0,0,0,0,7,7,0,710,1,2,1,1,1,0,1,0,ע׳׳ג
שׁקץ,0,0,7,0,0,0,0,7,7,0,711,1,5,0,0,1,0,0,0,Fort
צבר,7,0,0,0,0,0,0,7,7,0,712,0,3,4,0,0,0,0,0,Fort
בקר,0,0,7,0,0,0,0,7,7,0,713,1,3,0,0,0,3,0,0,Fort
עקר,1,1,5,0,0,0,0,7,7,0,714,2,2,2,0,0,1,0,0,פ׳׳ג
קוט,1,4,0,0,2,0,0,7,7,0,715,4,2,1,0,0,0,0,0,ע׳׳וי
סלף,0,0,7,0,0,0,0,7,7,0,716,0,5,1,0,0,0,1,0,Fort
דחה,5,1,0,0,0,0,1,7,7,0,717,2,1,0,0,1,1,1,1,ל׳׳ה
נשׁל,6,0,1,0,0,0,0,7,7,0,718,3,1,1,2,0,0,0,0,פ׳׳נ
עגב,7,0,0,0,0,0,0,7,7,0,719,3,0,3,0,0,0,1,0,פ׳׳ג
גאה,7,0,0,0,0,0,0,7,7,0,720,3,2,0,0,2,0,0,0,ל׳׳ה
חמץ,4,0,0,2,1,0,0,7,7,0,721,1,2,0,0,0,1,3,0,פ׳׳ג
ערם,5,1,0,1,0,0,0,7,7,0,722,1,4,0,0,1,1,0,0,פ׳׳ג
פסח,5,1,1,0,0,0,0,7,7,0,723,3,0,2,0,1,0,1,0,ל׳׳ג
צלל,5,0,0,2,0,0,0,7,7,0,724,3,3,0,0,0,0,1,0,ע׳׳ע
שׁאה,1,3,0,2,1,0,0,7,7,0,725,1,3,0,0,0,2,1,0,ל׳׳ה
ספק,7,0,0,0,0,0,0,7,7,0,726,4,1,1,1,0,0,0,0,Fort
גדף,0,0,7,0,0,0,0,7,7,0,727,5,0,0,0,0,0,2,0,Fort
עשׁן,6,0,0,0,0,0,0,6,6,0,728,2,4,0,0,0,0,0,0,פ׳׳ג
שׁתן,0,0,0,6,0,0,0,6,6,0,729,0,0,0,0,0,0,6,0,Fort
שׂטם,6,0,0,0,0,0,0,6,6,0,730,0,3,3,0,0,0,0,0,Fort
נגה,3,0,0,3,0,0,0,6,6,0,731,2,4,0,0,0,0,0,0,פ׳׳נ
מתק,4,0,0,2,0,0,0,6,6,0,732,2,3,1,0,0,0,0,0,Fort
הוה,6,0,0,0,0,0,0,6,6,0,733,0,1,0,3,0,0,2,0,ע׳׳וי
רזן,6,0,0,0,0,0,0,6,6,0,734,0,0,0,0,0,0,6,0,Fort
רמם,2,4,0,0,0,0,0,6,6,0,735,1,1,3,1,0,0,0,0,Fort
כשׁף,0,0,6,0,0,0,0,6,6,0,736,1,0,0,0,0,0,5,0,Fort
חמר,3,0,3,0,0,0,0,6,6,0,737,4,1,1,0,0,0,0,0,פ׳׳ג
יאשׁ,0,5,1,0,0,0,0,6,6,0,738,1,0,0,0,0,1,4,0,פ׳׳וי
דלה,5,0,1,0,0,0,0,6,6,0,739,3,1,1,0,1,0,0,0,ל׳׳ה
הדר,4,1,0,0,1,0,0,6,6,0,740,2,3,0,0,0,0,0,1,פ׳׳ג
פסל,6,0,0,0,0,0,0,6,6,0,741,1,0,3,2,0,0,0,0,Fort
אנה,2,0,1,0,1,0,2,6,6,0,742,3,2,0,0,0,0,1,0,פ׳׳א
שׁקר,1,0,5,0,0,0,0,6,6,0,743,1,5,0,0,0,0,0,0,Fort
קבע,6,0,0,0,0,0,0,6,6,0,744,2,1,0,0,0,0,3,0,ל׳׳ג
עוז,2,0,0,4,0,0,0,6,6,0,745,1,1,0,3,1,0,0,0,ע׳׳וי
פלס,0,0,6,0,0,0,0,6,6,0,746,0,4,0,1,0,0,1,0,Fort
לוז,1,4,0,1,0,0,0,6,6,0,747,0,2,0,0,0,0,4,0,ע׳׳וי
חצר,0,0,1,5,0,0,0,6,6,0,748,0,0,0,0,0,0,6,0,פ׳׳ג
כתר,0,0,3,3,0,0,0,6,6,0,749,2,2,0,1,0,0,1,0,Fort
שׂטן,6,0,0,0,0,0,0,6,6,0,750,0,2,0,0,0,1,3,0,Fort
לחך,1,0,5,0,0,0,0,6,6,0,751,1,4,0,0,0,1,0,0,ע׳׳ג
נקר,2,0,3,0,0,0,1,6,6,0,752,2,2,1,0,0,1,0,0,פ׳׳נ
שׂרר,4,0,0,0,2,0,0,6,6,0,753,0,3,1,0,1,0,1,0,ע׳׳ע
נהר,6,0,0,0,0,0,0,6,6,0,754,5,1,0,0,0,0,0,0,פ׳׳נ
יקע,2,0,0,3,0,1,0,6,6,0,755,1,1,2,1,0,0,0,1,פ׳׳וי
שׁטח,5,0,1,0,0,0,0,6,6,0,756,2,0,2,0,1,0,1,0,ל׳׳ג
שׁקע,3,1,0,2,0,0,0,6,6,0,757,2,3,1,0,0,0,0,0,ל׳׳ג
רטשׁ,0,0,2,0,0,0,4,6,6,0,758,1,5,0,0,0,0,0,0,Fort
שׂטה,6,0,0,0,0,0,0,6,6,0,759,2,3,0,1,0,0,0,0,ל׳׳ה
כסף,2,4,0,0,0,0,0,6,6,0,760,3,2,0,0,1,0,0,0,Fort
נום,6,0,0,0,0,0,0,6,6,0,761,2,3,0,0,0,1,0,0,פ׳׳נ
יחם,2,0,4,0,0,0,0,6,6,0,762,1,0,2,0,0,3,0,0,פ׳׳וי
הום,1,3,0,2,0,0,0,6,6,0,763,1,2,3,0,0,0,0,0,ע׳׳וי
ספן,6,0,0,0,0,0,0,6,6,0,764,0,0,1,0,0,0,0,5,Fort
ארח,6,0,0,0,0,0,0,6,6,0,765,1,0,0,0,0,1,4,0,פ׳׳א
ברה,4,0,0,2,0,0,0,6,6,0,766,1,3,0,1,0,1,0,0,ל׳׳ה
עבט,2,0,1,3,0,0,0,6,6,0,767,1,3,0,0,1,1,0,0,פ׳׳ג
חרק,5,0,0,0,0,0,0,5,5,0,768,1,1,1,0,1,0,1,0,פ׳׳ג
חמשׁ,4,0,1,0,0,0,0,5,5,0,769,1,0,0,0,0,0,0,4,פ׳׳ג
שׁיח,1,0,0,0,4,0,0,5,5,0,770,1,4,0,0,0,0,0,0,ע׳׳וי
נשׁה,1,1,1,2,0,0,0,5,5,0,771,3,2,0,0,0,0,0,0,פ׳׳נ
אפס,5,0,0,0,0,0,0,5,5,0,772,5,0,0,0,0,0,0,0,פ׳׳א
גמר,5,0,0,0,0,0,0,5,5,0,773,2,2,0,0,0,0,1,0,Fort
רדד,3,0,0,2,0,0,0,5,5,0,774,0,1,1,0,0,2,1,0,ע׳׳ע
אצל,4,1,0,0,0,0,0,5,5,0,775,4,0,1,0,0,0,0,0,פ׳׳א
סחב,5,0,0,0,0,0,0,5,5,0,776,1,2,0,0,1,1,0,0,ע׳׳ג
לוט,4,0,0,1,0,0,0,5,5,0,777,1,0,1,0,0,0,2,1,ע׳׳וי
ספח,1,1,1,0,1,0,1,5,5,0,778,1,1,0,1,0,1,1,0,ל׳׳ג
עקב,4,0,1,0,0,0,0,5,5,0,779,1,2,1,0,1,0,0,0,פ׳׳ג
דכה,1,2,2,0,0,0,0,5,5,0,780,3,1,0,0,0,0,1,0,ל׳׳ה
שׁסס,3,2,0,0,0,0,0,5,5,0,781,2,1,2,0,0,0,0,0,ע׳׳ע
לבב,0,1,4,0,0,0,0,5,5,0,782,2,2,1,0,0,0,0,0,ע׳׳ע
פלה,0,1,0,4,0,0,0,5,5,0,783,4,1,0,0,0,0,0,0,ל׳׳ה
תנה,2,0,2,1,0,0,0,5,5,0,784,1,2,0,1,0,1,0,0,ל׳׳ה
עלף,0,0,0,0,3,0,2,5,5,0,785,1,1,2,0,0,0,0,1,פ׳׳ג
שׁאן,0,0,5,0,0,0,0,5,5,0,786,5,0,0,0,0,0,0,0,ע׳׳ג
פעם,1,3,0,0,1,0,0,5,5,0,787,1,0,3,0,0,1,0,0,ע׳׳ג
נקע,5,0,0,0,0,0,0,5,5,0,788,3,0,2,0,0,0,0,0,פ׳׳נ
עיף,5,0,0,0,0,0,0,5,5,0,789,1,0,4,0,0,0,0,0,ע׳׳וי
קרץ,4,0,0,0,0,0,1,5,5,0,790,1,1,0,0,0,0,3,0,Fort
גיח,3,0,0,2,0,0,0,5,5,0,791,0,1,1,1,0,1,1,0,ע׳׳וי
זעף,5,0,0,0,0,0,0,5,5,0,792,0,1,1,0,0,1,2,0,ע׳׳ג
צמד,0,3,0,1,0,0,1,5,5,0,793,0,1,2,0,0,0,1,1,Fort
אפף,5,0,0,0,0,0,0,5,5,0,794,5,0,0,0,0,0,0,0,פ׳׳א
מלח,1,1,0,0,0,2,1,5,5,0,795,2,1,0,0,1,0,0,1,ל׳׳ג
חבט,4,1,0,0,0,0,0,5,5,0,796,0,3,1,0,0,0,1,0,פ׳׳ג
קטף,4,1,0,0,0,0,0,5,5,0,797,2,2,0,0,0,0,1,0,Fort
סבא,5,0,0,0,0,0,0,5,5,0,798,0,1,0,0,0,0,3,1,ל׳׳א
שׁפת,5,0,0,0,0,0,0,5,5,0,799,0,2,0,3,0,0,0,0,Fort
חנך,5,0,0,0,0,0,0,5,5,0,800,1,1,2,1,0,0,0,0,פ׳׳ג
בעה,3,2,0,0,0,0,0,5,5,0,801,1,2,0,1,0,0,1,0,ל׳׳ה
פלח,1,0,4,0,0,0,0,5,5,0,802,0,3,1,0,0,0,1,0,ל׳׳ג
קצה,1,0,2,2,0,0,0,5,5,0,803,1,0,0,0,0,3,1,0,ל׳׳ה
שׂמאל,0,0,0,5,0,0,0,5,5,0,804,0,2,0,1,0,1,1,0,ל׳׳א
נקשׁ,1,1,2,0,1,0,0,5,5,0,805,0,2,1,0,0,0,2,0,פ׳׳נ
קרח,2,1,0,1,0,1,0,5,5,0,806,1,2,0,1,0,0,0,1,ל׳׳ג
יגר,5,0,0,0,0,0,0,5,5,0,807,5,0,0,0,0,0,0,0,פ׳׳וי
נהם,5,0,0,0,0,0,0,5,5,0,808,2,2,0,0,0,0,1,0,פ׳׳נ
ימן,0,0,0,5,0,0,0,5,5,0,809,0,2,0,1,0,1,1,0,פ׳׳וי
פרשׁ,1,1,0,1,0,0,2,5,5,0,810,1,1,0,0,0,1,1,1,Fort
מוך,5,0,0,0,0,0,0,5,5,0,811,2,3,0,0,0,0,0,0,ע׳׳וי
רכשׁ,5,0,0,0,0,0,0,5,5,0,812,5,0,0,0,0,0,0,0,Fort
מסך,5,0,0,0,0,0,0,5,5,0,813,4,0,0,0,0,1,0,0,Fort
שׁכך,4,0,0,1,0,0,0,5,5,0,814,2,0,1,0,0,2,0,0,Fort
הבל,4,0,0,1,0,0,0,5,5,0,815,0,2,2,0,0,0,1,0,פ׳׳ג
אצר,3,1,0,1,0,0,0,5,5,0,816,2,1,1,0,0,0,1,0,פ׳׳א
לושׁ,5,0,0,0,0,0,0,5,5,0,817,0,0,2,1,0,1,1,0,ע׳׳וי
כפף,4,1,0,0,0,0,0,5,5,0,818,1,1,0,0,0,1,0,2,Fort
לטשׁ,4,0,0,0,0,0,1,5,5,0,819,0,2,0,0,0,1,1,1,Fort
צעה,4,0,1,0,0,0,0,5,5,0,820,1,0,0,0,0,0,4,0,ל׳׳ה
קנן,0,0,4,0,0,0,1,5,5,0,821,2,2,0,0,0,0,0,1,Fort
כפל,4,1,0,0,0,0,0,5,5,0,822,1,1,0,0,0,0,0,3,Fort
סלה,1,0,1,0,0,0,3,5,5,0,823,2,2,0,0,0,0,0,1,ל׳׳ה
